name,street,city,state,zip,price,link,rdi,CMRA
Birmingham - 19th St,120 19th Street North Suite MAILBOX,Birmingham,AL,35203,US$39.00/month,https://www.anytimemailbox.com/s/birmingham-120-19th-street-north,Residential,N
Tempe,1628 E Southern Ave Suite #9MAILBOX,Tempe,AZ,85282,US$14.99/month,https://www.anytimemailbox.com/s/tempe-1817-e-southern-avenue,Commercial,N
Phoenix - Tatum Blvd (10810),10810 N Tatum Blvd Ste 102-MAILBOX,Phoenix,AZ,85028,US$17.99/month,https://www.anytimemailbox.com/s/phoenix-10810-n-tatum-blvd,Commercial,N
Theodore,7272 Theodore Dawes Rd Ste C Unit MAILBOX,Theodore,AL,36582,US$19.99/month,https://www.anytimemailbox.com/s/theodore-7272-theodore-dawes-road,Commercial,N
Springerville,221 S Mountain Ave Ste #219 PMB MAILBOX,Springerville,AZ,85938,US$12.99/month,https://www.anytimemailbox.com/s/springerville-221-s-mountain-ave,Commercial,N
Scottsdale - Frank Lloyd Wright,15560 N Frank Lloyd Wright Suite B4-MAILBOX,Scottsdale,AZ,85260,US$7.99/month,https://www.anytimemailbox.com/s/scottsdale-15560-n-frank-lloyd-wright,Commercial,N
Phoenix - Central Ave,2828 N Central Ave Ste 1000 #MAILBOX,Phoenix,AZ,85004,US$19.99/month,https://www.anytimemailbox.com/s/phoenix-2828-n-central-ave,Commercial,N
